candidate,avg_wrmsse,delta_vs_base,n_levels,improvement_vs_base_pct,selected
trend_global,0.4713737407261391,-0.003867623373742024,12,0.008138229678444337,True
blend_base_global_75,0.47195162722178124,-0.003289736878099858,12,0.006922244414331865,False
blend_base_global_50,0.4727914725699092,-0.0024498915299718815,12,0.005155046919394394,False
blend_base_global_25,0.47388959732181174,-0.0013517667780693632,12,0.0028443794673252885,False
blend_global_snaive_5,0.47409395351532474,-0.0011474105845563631,12,0.0024143744026355685,False
trend_category,0.47474327041636205,-0.0004980936835190519,12,0.0010480857121148402,False
base_recursive_lightgbm,0.4752413640998811,0.0,12,0.0,False
blend_base_horizon_25,0.47618920960568684,0.0009478455058057333,12,-0.001994450772611042,False
blend_global_snaive_10,0.47940566216418484,0.00416429806430374,12,-0.008762490765489286,False
trend_store,0.47998743507018965,0.004746070970308547,12,-0.00998665379074846,False
trend_department,0.48213358041174476,0.006892216311863653,12,-0.014502559820140405,False
trend_state,0.4826896434563061,0.007448279356425003,12,-0.015672624310664178,False
trend_store_category,0.4874073902367746,0.012166026136893493,12,-0.02559967851269901,False
trend_store_department,0.4946886125327763,0.019447248432895192,12,-0.040920782368615495,False
trend_state_department,0.49694743972668814,0.021706075626807042,12,-0.04567379286926946,False
blend_global_snaive_20,0.49716077857543456,0.021919414475553456,12,-0.04612269918269713,False
blend_base_horizon_50,0.5047664213648405,0.02952505726495941,12,-0.062126446675955065,False
blend_base_horizon_75,0.5520803246466365,0.07683896054675537,12,-0.16168407540090762,False
trend_horizon_global,0.6108130450493852,0.13557168094950406,12,-0.2852691099527504,False
trend_global_x_horizon,0.6157472393565961,0.14050587525671504,12,-0.29565161172962423,False
