level,n_series,wrmsse,mean_rmsse,weight_sum
L1_Total,1,0.6288945410210011,0.6288945410210011,1.0
L2_State,3,0.6891539067651542,0.7146235036247118,1.0
L3_Store,10,0.7485747935674464,0.7514188349246549,0.9999999999999999
L4_Category,3,0.6565254493471466,0.639737642254902,1.0
L5_Department,7,0.7572840857589163,1.009873069416381,1.0
L6_State_Category,9,0.71905246280091,0.721639533508506,0.9999999999999998
L7_State_Department,21,0.8041589276826722,1.0029318344739042,1.0
L8_Store_Category,30,0.7938262381155983,0.8123712739789155,0.9999999999999998
L9_Store_Department,70,0.8757895887688668,1.0118964863012831,0.9999999999999998
L10_Item,3049,1.0941114683183277,1.0846850762298321,1.0
L11_Item_State,9147,1.1286435993453838,1.0644705651569273,1.0
L12_Item_Store,30490,1.1566964414087635,1.033331869779433,0.9999999999999999
Average,42840,0.8377259585750156,,
