level,n_series,wrmsse,mean_rmsse,weight_sum
L1_Total,1,0.6322416808239792,0.6322416808239792,1.0
L2_State,3,0.6897177726111655,0.7162190696346972,1.0
L3_Store,10,0.738626522796388,0.7354805975058861,0.9999999999999999
L4_Category,3,0.6617611102284671,0.6079076885931006,1.0
L5_Department,7,0.7485137439882271,0.9032286217149682,1.0
L6_State_Category,9,0.7248731498817107,0.6961371607661583,0.9999999999999998
L7_State_Department,21,0.7929356257430638,0.9373916280358487,1.0
L8_Store_Category,30,0.7922508530707801,0.7841499275321692,0.9999999999999998
L9_Store_Department,70,0.8575956172279896,0.9511620030009851,0.9999999999999998
L10_Item,3049,1.0716243525654294,1.041014971638608,1.0
L11_Item_State,9147,1.1000570387334503,1.0320079264396815,1.0
L12_Item_Store,30490,1.1160771362572133,1.008820805719313,0.9999999999999999
Average,42840,0.8271895503273218,,
