window,origin_day,candidate,wape,bias_pct,actual_units,predicted_units
cv_1802_1829,1802,seasonal_naive_28,0.9630344252431056,-0.07845948728828284,1093558.0,1007758.0
cv_1802_1829,1802,trend_global,0.9549270284344211,-0.09886834562231898,1093558.0,985439.7296979481
cv_1802_1829,1802,trend_state,0.9551375200277562,-0.09880246089545267,1093558.0,985511.7784680906
cv_1802_1829,1802,trend_store,0.9560852191872307,-0.09836252291045446,1093558.0,985992.8761710892
cv_1802_1829,1802,trend_category,0.9549013159996674,-0.09885947144530467,1093558.0,985449.4341252155
cv_1802_1829,1802,trend_department,0.9586211939087291,-0.09703796552591677,1093558.0,987441.3564954095
cv_1802_1829,1802,trend_store_department,0.960013881052742,-0.09797270113512992,1093558.0,986419.1688920696
cv_1802_1829,1802,trend_store_category,0.9572591737451515,-0.09746368602792646,1093558.0,986975.8064346728
cv_1802_1829,1802,trend_horizon_daily,0.9732867675839894,-0.07777371789372832,1093558.0,1008507.9286075702
cv_1802_1829,1802,direct_segment_trend,0.9567422029962767,-0.09780133418419652,1093558.0,986606.5685921984
cv_1802_1829,1802,blend_base_global_25,0.9610056053995479,-0.08356170187179182,1093558.0,1002178.4324244871
cv_1802_1829,1802,blend_base_global_50,0.9589769008310612,-0.0886639164553008,1093558.0,996598.8648489742
cv_1802_1829,1802,blend_base_global_75,0.9569505773881886,-0.0937661310388099,1093558.0,991019.2972734611
cv_1830_1857,1830,seasonal_naive_28,0.8943664367831735,-0.06984114562954848,1175668.0,1093558.0
cv_1830_1857,1830,trend_global,0.9350641010027584,0.009344245273718552,1175668.0,1186653.7301524621
cv_1830_1857,1830,trend_state,0.9354976144743963,0.009600375935320253,1175668.0,1186954.854775126
cv_1830_1857,1830,trend_store,0.9356794718562864,0.010788712084997714,1175668.0,1188351.943559545
cv_1830_1857,1830,trend_category,0.9340482627452716,0.011703494434603426,1175668.0,1189427.4238949413
