window,candidate,horizon_segment,wape,bias_pct
cv_1802_1829,seasonal_naive_28,F1_F7,0.9406282052656596,-0.06501484920286048
cv_1802_1829,seasonal_naive_28,F8_F14,0.9523642656902569,-0.054279421019509125
cv_1802_1829,seasonal_naive_28,F15_F21,0.9919285290285488,-0.17537342686582766
cv_1802_1829,seasonal_naive_28,F22_F28,0.9687218282348699,-0.020482751367269666
cv_1802_1829,trend_global,F1_F7,0.9328896580852208,-0.08572145865065978
cv_1802_1829,trend_global,F8_F14,0.9442320379159646,-0.07522378217754468
cv_1802_1829,trend_global,F15_F21,0.9841501454758501,-0.19363598469961626
cv_1802_1829,trend_global,F22_F28,0.9599218075546667,-0.04217558905301109
cv_1802_1829,trend_state,F1_F7,0.933139577626865,-0.08564853072961699
cv_1802_1829,trend_state,F8_F14,0.9443381431444193,-0.07507868868298254
cv_1802_1829,trend_state,F15_F21,0.9844605251669358,-0.19348638336420676
cv_1802_1829,trend_state,F22_F28,0.9601000140409058,-0.042284544677561535
cv_1802_1829,trend_store,F1_F7,0.9339213635005187,-0.08557795327284995
cv_1802_1829,trend_store,F8_F14,0.9455949141782816,-0.07455957097226835
cv_1802_1829,trend_store,F15_F21,0.9855078291195055,-0.19274998005486876
cv_1802_1829,trend_store,F22_F28,0.9607972045178521,-0.04183785355876752
cv_1802_1829,trend_category,F1_F7,0.9328815429556501,-0.08567437181993068
cv_1802_1829,trend_category,F8_F14,0.9441944864643006,-0.07518238885562592
cv_1802_1829,trend_category,F15_F21,0.9841320617994158,-0.1936576186297011
cv_1802_1829,trend_category,F22_F28,0.959882360729899,-0.04221034362987014
cv_1802_1829,trend_department,F1_F7,0.9358785320743201,-0.08523607645441947
cv_1802_1829,trend_department,F8_F14,0.9493316303794611,-0.07159527494744904
cv_1802_1829,trend_department,F15_F21,0.9888092420505149,-0.1904930236078441
cv_1802_1829,trend_department,F22_F28,0.9619100368365135,-0.042141093388351036
cv_1802_1829,trend_store_department,F1_F7,0.9371644074544513,-0.08634294829532303
cv_1802_1829,trend_store_department,F8_F14,0.9503640656351615,-0.072756984421253
cv_1802_1829,trend_store_department,F15_F21,0.9904946770619123,-0.19096008992426433
