state_id,actual_sum,pred_sum,abs_error,wape,bias_pct,window,candidate,grain,store_id,cat_id
CA,473350.0,420068.44452305435,442904.3437532993,0.9356804558007802,-0.11256270302513077,cv_1802_1829,trend_category,state_id,,
TX,291456.0,269275.39369436656,287159.07487546094,0.9852570366554847,-0.07610276098496321,cv_1802_1829,trend_category,state_id,,
WI,328752.0,296105.59590779466,314176.554693204,0.9556643144169586,-0.09930404709995784,cv_1802_1829,trend_category,state_id,,
,118109.0,108712.93315950391,110671.42716046203,0.9370278908505028,-0.07955419858347873,cv_1802_1829,trend_category,store_id,CA_1,
,115135.0,105762.91944113784,111778.69361659503,0.9708489479011163,-0.08140079523048734,cv_1802_1829,trend_category,store_id,CA_2,
,171226.0,146206.9412817111,146766.64452734895,0.8571516272490682,-0.14611717098039376,cv_1802_1829,trend_category,store_id,CA_3,
,68880.0,59385.65064070148,73687.57844889327,1.0697964350884621,-0.13783898605253364,cv_1802_1829,trend_category,store_id,CA_4,
,84288.0,78270.06999672647,86841.64435968496,1.0302966538497171,-0.07139723333420574,cv_1802_1829,trend_category,store_id,TX_1,
,105435.0,99639.77019067887,103375.25690027203,0.9804643325297294,-0.054964952902936674,cv_1802_1829,trend_category,store_id,TX_2,
,101733.0,91365.55350696121,96942.17361550394,0.9529078432318318,-0.10190839248856115,cv_1802_1829,trend_category,store_id,TX_3,
,101299.0,96525.22578017035,101317.8084528955,1.0001856726413438,-0.04712558090237463,cv_1802_1829,trend_category,store_id,WI_1,
,126417.0,108685.76944516771,116692.70820530743,0.9230776573190902,-0.14025985868065444,cv_1802_1829,trend_category,store_id,WI_2,
,101036.0,90894.60068245658,96166.03803500108,0.9517997350944325,-0.10037411731999896,cv_1802_1829,trend_category,store_id,WI_3,
,729226.0,637734.0171966704,657861.1010366435,0.9021361018897345,-0.1254645100467202,cv_1802_1829,trend_category,cat_id,,FOODS
,105560.0,106943.87710033606,131631.35381661064,1.246981373783731,0.013109862640546227,cv_1802_1829,trend_category,cat_id,,HOBBIES
,258772.0,240771.53982820903,254747.51846871007,0.9844477705034164,-0.06956108146086504,cv_1802_1829,trend_category,cat_id,,HOUSEHOLD
,76575.0,68533.18094783992,67482.89354248704,0.881265341723631,-0.10501885801057888,cv_1802_1829,trend_category,store_id+cat_id,CA_1,FOODS
,14526.0,15281.459433509362,17299.483437349976,1.1909323583471,0.05200739594584624,cv_1802_1829,trend_category,store_id+cat_id,CA_1,HOBBIES
,27008.0,24898.292778154624,25889.05018062501,0.9585696897447057,-0.07811415957662085,cv_1802_1829,trend_category,store_id+cat_id,CA_1,HOUSEHOLD
,75010.0,66421.42376789534,68183.60968085458,0.9089935965985146,-0.1144990832169666,cv_1802_1829,trend_category,store_id+cat_id,CA_2,FOODS
,11091.0,11936.41478636582,15059.83437349976,1.3578427890631828,0.07622529856332341,cv_1802_1829,trend_category,store_id+cat_id,CA_2,HOBBIES
,29034.0,27405.080886876684,28535.249562240697,0.9828218489440207,-0.05610384766560985,cv_1802_1829,trend_category,store_id+cat_id,CA_2,HOUSEHOLD
,111177.0,91768.38680249926,91039.96887512447,0.8188741275185017,-0.1745739963976429,cv_1802_1829,trend_category,store_id+cat_id,CA_3,FOODS
,16452.0,16081.382621219396,18523.416226596255,1.1259066512640563,-0.022527192972319702,cv_1802_1829,trend_category,store_id+cat_id,CA_3,HOBBIES
,43597.0,38357.171857992456,37203.25942562825,0.8533444830063593,-0.12018781434519678,cv_1802_1829,trend_category,store_id+cat_id,CA_3,HOUSEHOLD
,44271.0,36702.06553325772,44827.54409796071,1.0125713017090354,-0.170968229015434,cv_1802_1829,trend_category,store_id+cat_id,CA_4,FOODS
,11216.0,10569.71675468075,12771.414306289007,1.1386781656819729,-0.057621544696794716,cv_1802_1829,trend_category,store_id+cat_id,CA_4,HOBBIES
,13393.0,12113.86835276301,16088.620044643561,1.2012708164446773,-0.09550747758060112,cv_1802_1829,trend_category,store_id+cat_id,CA_4,HOUSEHOLD
,51996.0,47243.220807174075,51203.03895535454,0.9847495760318974,-0.09140663114135558,cv_1802_1829,trend_category,store_id+cat_id,TX_1,FOODS
,7686.0,7628.535765722516,10573.569851176188,1.3756921482144402,-0.007476481170632857,cv_1802_1829,trend_category,store_id+cat_id,TX_1,HOBBIES
,24606.0,23398.313423829877,25065.035553154234,1.0186554317302379,-0.04908097928026184,cv_1802_1829,trend_category,store_id+cat_id,TX_1,HOUSEHOLD
,67833.0,61147.907693302725,62544.50070092263,0.9220364822567575,-0.09855221362312261,cv_1802_1829,trend_category,store_id+cat_id,TX_2,FOODS
,9570.0,10040.987037926068,12769.54104656745,1.3343303078962854,0.049214946491752176,cv_1802_1829,trend_category,store_id+cat_id,TX_2,HOBBIES
,28032.0,28450.875459450075,28061.21515278194,1.0010422072196754,0.014942760397048914,cv_1802_1829,trend_category,store_id+cat_id,TX_2,HOUSEHOLD
,66494.0,58134.05015958775,59403.456926348976,0.8933656709830808,-0.12572487503251797,cv_1802_1829,trend_category,store_id+cat_id,TX_3,FOODS
,10542.0,9819.54488718195,12442.168026884301,1.1802473939370424,-0.06853112434244452,cv_1802_1829,trend_category,store_id+cat_id,TX_3,HOBBIES
,24697.0,23411.95846019151,25096.54866227067,1.0161780241434453,-0.05203229298329722,cv_1802_1829,trend_category,store_id+cat_id,TX_3,HOUSEHOLD
,70039.0,65883.68968079441,65970.64209627006,0.9419129641524018,-0.0593285215266578,cv_1802_1829,trend_category,store_id+cat_id,WI_1,FOODS
,10950.0,11629.127220355258,13371.24723955833,1.2211184693660575,0.062020750717375166,cv_1802_1829,trend_category,store_id+cat_id,WI_1,HOBBIES
,20310.0,19012.408879020677,21975.91911706709,1.0820245749417572,-0.06388927232788395,cv_1802_1829,trend_category,store_id+cat_id,WI_1,HOUSEHOLD
,92292.0,77402.3652077649,81766.70574786639,0.8859565915557838,-0.16133180332244504,cv_1802_1829,trend_category,store_id+cat_id,WI_2,FOODS
,6408.0,6786.665386461835,9044.094095055209,1.411375482998628,0.05909260088355723,cv_1802_1829,trend_category,store_id+cat_id,WI_2,HOBBIES
,27717.0,24496.738850940983,25881.908362385828,0.9337918375865292,-0.11618361110722723,cv_1802_1829,trend_category,store_id+cat_id,WI_2,HOUSEHOLD
,73539.0,64497.72659655434,65438.74041345411,0.889850833074343,-0.12294528622153768,cv_1802_1829,trend_category,store_id+cat_id,WI_3,FOODS
,7119.0,7170.043206913107,9776.585213634182,1.3733087812381208,0.007169996757003313,cv_1802_1829,trend_category,store_id+cat_id,WI_3,HOBBIES
,20378.0,19226.830878989127,20950.712407912793,1.0281044463594462,-0.05649078030282034,cv_1802_1829,trend_category,store_id+cat_id,WI_3,HOUSEHOLD
CA,489472.0,473350.0,441238.0,0.9014570802824268,-0.03293753268828452,cv_1830_1857,seasonal_naive_28,state_id,,
TX,318147.0,291456.0,286157.0,0.8994489968473693,-0.08389518052975511,cv_1830_1857,seasonal_naive_28,state_id,,
WI,368049.0,328752.0,324083.0,0.8805430798616488,-0.10677110928164456,cv_1830_1857,seasonal_naive_28,state_id,,
,122858.0,118109.0,110033.0,0.8956111934102785,-0.03865438148105944,cv_1830_1857,seasonal_naive_28,store_id,CA_1,
,117701.0,115135.0,109182.0,0.9276216854572179,-0.021801004239556162,cv_1830_1857,seasonal_naive_28,store_id,CA_2,
,179531.0,171226.0,146707.0,0.8171680656822499,-0.04625942037865327,cv_1830_1857,seasonal_naive_28,store_id,CA_3,
,69382.0,68880.0,75316.0,1.085526505433686,-0.0072353059871436394,cv_1830_1857,seasonal_naive_28,store_id,CA_4,
,90690.0,84288.0,86238.0,0.9509096923585841,-0.07059212702613298,cv_1830_1857,seasonal_naive_28,store_id,TX_1,
,117704.0,105435.0,102835.0,0.8736746414735268,-0.10423604975192007,cv_1830_1857,seasonal_naive_28,store_id,TX_2,
,109753.0,101733.0,97084.0,0.8845680755879111,-0.07307317339844925,cv_1830_1857,seasonal_naive_28,store_id,TX_3,
,106171.0,101299.0,99308.0,0.9353589963360993,-0.04588823690084863,cv_1830_1857,seasonal_naive_28,store_id,WI_1,
,149723.0,126417.0,127842.0,0.8538567888701135,-0.1556607869198453,cv_1830_1857,seasonal_naive_28,store_id,WI_2,
,112155.0,101036.0,96933.0,0.864277116490571,-0.09913958361196558,cv_1830_1857,seasonal_naive_28,store_id,WI_3,
,780652.0,729226.0,649526.0,0.8320301491573711,-0.0658757038987923,cv_1830_1857,seasonal_naive_28,cat_id,,FOODS
,109490.0,105560.0,132356.0,1.208840990044753,-0.03589368892136268,cv_1830_1857,seasonal_naive_28,cat_id,,HOBBIES
,285526.0,258772.0,269596.0,0.9442082332256957,-0.09370074879345489,cv_1830_1857,seasonal_naive_28,cat_id,,HOUSEHOLD
,80427.0,76575.0,66286.0,0.824175960809181,-0.047894363833041145,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_1,FOODS
,14863.0,14526.0,17485.0,1.1764112224988226,-0.02267375361636278,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_1,HOBBIES
,27568.0,27008.0,26262.0,0.9526262333139872,-0.020313406848520024,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_1,HOUSEHOLD
,77245.0,75010.0,65405.0,0.8467214706453492,-0.028933911580037542,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_2,FOODS
,11033.0,11091.0,14462.0,1.3107948880630835,0.005256956403516723,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_2,HOBBIES
,29423.0,29034.0,29315.0,0.9963294021683717,-0.01322094959725385,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_2,HOUSEHOLD
,115421.0,111177.0,88212.0,0.7642630023999099,-0.03676973860909193,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_3,FOODS
,16558.0,16452.0,18658.0,1.126826911462737,-0.0064017393405000605,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_3,HOBBIES
,47552.0,43597.0,39837.0,0.8377565612382234,-0.0831721063257066,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_3,HOUSEHOLD
,44933.0,44271.0,45642.0,1.0157790488060001,-0.01473304698106069,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_4,FOODS
,10694.0,11216.0,13134.0,1.2281653263512249,0.048812418178417805,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_4,HOBBIES
,13755.0,13393.0,16540.0,1.202471828426027,-0.026317702653580514,cv_1830_1857,seasonal_naive_28,store_id+cat_id,CA_4,HOUSEHOLD
,55971.0,51996.0,50519.0,0.9025924139286416,-0.07101892051240821,cv_1830_1857,seasonal_naive_28,store_id+cat_id,TX_1,FOODS
,8003.0,7686.0,10685.0,1.3351243283768586,-0.03961014619517681,cv_1830_1857,seasonal_naive_28,store_id+cat_id,TX_1,HOBBIES
,26716.0,24606.0,25034.0,0.9370414732744423,-0.07897888905524779,cv_1830_1857,seasonal_naive_28,store_id+cat_id,TX_1,HOUSEHOLD
,76828.0,67833.0,60531.0,0.7878768157442599,-0.11707971052220545,cv_1830_1857,seasonal_naive_28,store_id+cat_id,TX_2,FOODS
,10468.0,9570.0,12858.0,1.2283148643484907,-0.08578525028658769,cv_1830_1857,seasonal_naive_28,store_id+cat_id,TX_2,HOBBIES
,30408.0,28032.0,29446.0,0.9683635885293344,-0.07813733228097869,cv_1830_1857,seasonal_naive_28,store_id+cat_id,TX_2,HOUSEHOLD
,70281.0,66494.0,57647.0,0.8202359101321837,-0.05388369545111766,cv_1830_1857,seasonal_naive_28,store_id+cat_id,TX_3,FOODS
,11281.0,10542.0,12671.0,1.1232160269479656,-0.06550837691693999,cv_1830_1857,seasonal_naive_28,store_id+cat_id,TX_3,HOBBIES
,28191.0,24697.0,26766.0,0.9494519527508779,-0.12394026462346139,cv_1830_1857,seasonal_naive_28,store_id+cat_id,TX_3,HOUSEHOLD
,73748.0,70039.0,64079.0,0.8688913597656885,-0.05029288929869285,cv_1830_1857,seasonal_naive_28,store_id+cat_id,WI_1,FOODS
,11284.0,10950.0,12910.0,1.1440978376462247,-0.029599432825239278,cv_1830_1857,seasonal_naive_28,store_id+cat_id,WI_1,HOBBIES
,21139.0,20310.0,22319.0,1.0558209943705947,-0.03921661384171437,cv_1830_1857,seasonal_naive_28,store_id+cat_id,WI_1,HOUSEHOLD
,104533.0,92292.0,86583.0,0.8282838912113878,-0.1171017764725015,cv_1830_1857,seasonal_naive_28,store_id+cat_id,WI_2,FOODS
,7918.0,6408.0,9728.0,1.2285930790603687,-0.1907047234150038,cv_1830_1857,seasonal_naive_28,store_id+cat_id,WI_2,HOBBIES
,37272.0,27717.0,31531.0,0.8459701652715175,-0.2563586606567933,cv_1830_1857,seasonal_naive_28,store_id+cat_id,WI_2,HOUSEHOLD
,81265.0,73539.0,64622.0,0.7952008859902787,-0.09507167907463238,cv_1830_1857,seasonal_naive_28,store_id+cat_id,WI_3,FOODS
,7388.0,7119.0,9765.0,1.3217379534380076,-0.036410395235517055,cv_1830_1857,seasonal_naive_28,store_id+cat_id,WI_3,HOBBIES
,23502.0,20378.0,22546.0,0.9593226108416305,-0.13292485745893967,cv_1830_1857,seasonal_naive_28,store_id+cat_id,WI_3,HOUSEHOLD
CA,494408.0,489472.0,455250.0,0.9207982071487516,-0.009983657222375042,cv_1858_1885,seasonal_naive_28,state_id,,
TX,316878.0,318147.0,292645.0,0.9235257733260119,0.004004695813530759,cv_1858_1885,seasonal_naive_28,state_id,,
WI,364781.0,368049.0,337294.0,0.9246479394486007,0.008958799937496745,cv_1858_1885,seasonal_naive_28,state_id,,
,125246.0,122858.0,113880.0,0.9092505948293758,-0.019066477172923688,cv_1858_1885,seasonal_naive_28,store_id,CA_1,
,115301.0,117701.0,113156.0,0.9813965186772015,0.02081508399753688,cv_1858_1885,seasonal_naive_28,store_id,CA_2,
,180985.0,179531.0,150490.0,0.831505373373484,-0.008033814957040638,cv_1858_1885,seasonal_naive_28,store_id,CA_3,
,72876.0,69382.0,77724.0,1.0665239585048576,-0.047944453592403534,cv_1858_1885,seasonal_naive_28,store_id,CA_4,
,92662.0,90690.0,87420.0,0.9434288057671969,-0.02128164727720101,cv_1858_1885,seasonal_naive_28,store_id,TX_1,
,116192.0,117704.0,105704.0,0.9097356100247865,0.013012944092536491,cv_1858_1885,seasonal_naive_28,store_id,TX_2,
,108024.0,109753.0,99521.0,0.9212860105161816,0.016005702436495593,cv_1858_1885,seasonal_naive_28,store_id,TX_3,
,106430.0,106171.0,102381.0,0.9619562153528141,-0.0024335243822230573,cv_1858_1885,seasonal_naive_28,store_id,WI_1,
,147768.0,149723.0,135113.0,0.9143589951816361,0.013230198689838124,cv_1858_1885,seasonal_naive_28,store_id,WI_2,
,110583.0,112155.0,99800.0,0.9024895327491568,0.01421556658799273,cv_1858_1885,seasonal_naive_28,store_id,WI_3,
,790921.0,780652.0,674443.0,0.8527311830132213,-0.012983597603300456,cv_1858_1885,seasonal_naive_28,cat_id,,FOODS
,105935.0,109490.0,134137.0,1.2662198517959127,0.033558314060508805,cv_1858_1885,seasonal_naive_28,cat_id,,HOBBIES
