candidate,mean_wape,std_wape,mean_bias_pct,max_abs_bias_pct,avg_rank,wins,windows
seasonal_naive_28,0.9154932484049023,0.02948182763143608,-0.03882134905906099,0.07845948728828284,3.2,4,5
blend_base_global_25,0.9193962698598452,0.02789137962581796,-0.03180423871226723,0.08356170187179182,3.8,0,5
blend_base_global_50,0.923317674362275,0.027531678045737307,-0.024787128365473473,0.0886639164553008,4.2,0,5
blend_base_global_75,0.9272760387699714,0.028475407999423673,-0.017770018018679744,0.0937661310388099,4.4,0,5
trend_global,0.9312861607220217,0.03063897696359298,-0.010752907671886044,0.09886834562231898,6.2,0,5
trend_category,0.9314659554396159,0.030157141313215004,-0.010120207073553942,0.09885947144530467,6.6,1,5
trend_state,0.9321867623464485,0.030439912757348375,-0.010352527746807314,0.09880246089545267,8.0,0,5
direct_segment_trend,0.9322037155843773,0.029873490794721205,-0.011938390600101188,0.09780133418419652,8.8,0,5
trend_store_category,0.932285279092447,0.028506230525059947,-0.010905119010450562,0.09746368602792646,8.4,0,5
trend_store,0.9324090546771078,0.02939985958140872,-0.01047839492074243,0.09836252291045446,8.4,0,5
trend_store_department,0.9326379900293592,0.0283555245110472,-0.011831072053918574,0.09797270113512992,9.0,0,5
trend_department,0.9326887229059249,0.03049264508108257,-0.008831388886517227,0.09703796552591677,9.2,0,5
trend_horizon_daily,0.9367957525341287,0.03157824590726589,-0.011905439163538723,0.07777371789372832,10.8,0,5
